# Omega_H \dot{E}_{Horizon} \dot{E}_{Ergoregion}
2.500062503125195530e-03 3.820880099999999515e-05 3.821502100000000337e-05
6.250976867795042524e-03 2.403942399999999923e-04 2.404306599999999922e-04
1.250782228091054139e-02 9.696381899999999884e-04 9.697397700000000200e-04
2.506281446690022952e-02 3.949866499999999531e-03 3.950370699999999728e-03
7.676799763842392932e-02 4.016673100000000413e-02 4.022361800000000265e-02
1.339745962155613479e-01 1.301038699999999826e-01 1.334929699999999886e-01
1.666666666666667129e-01 2.029825299999999944e-01 2.131305799999999862e-01
2.041836836755107631e-01 2.977692200000000011e-01 3.255878599999999512e-01
2.500000000000000555e-01 4.132209199999999916e-01 4.842769699999999733e-01
3.133945031366293099e-01 5.293921700000000508e-01 7.212566599999999939e-01
3.619737368842527170e-01 5.898231999999999919e-01 8.766264400000000068e-01
4.338043637390611162e-01 5.820016000000000078e-01 1.049226999999999910e+00
4.523241599109594779e-01 5.686559899999998891e-01 1.076294499999999932e+00
4.693317021457332205e-01 5.736831599999999698e-01 1.076639899999999983e+00
